validated	event	event_label	time	line_id	landmark_label	landmark_type	relatum_label	relatum_type	relation_type	change_type	change_on	attribute_type	outdates	makes_effective
X	14	rue des couronnes || Classement || Décret du 23 mai 1863, dans la voirie parisienne (partie A)	1863-05-23	10069_classement_1	Rue des Couronnes	thoroughfare				classement	landmark			
X	15	rue des couronnes || Classement || Précédemment, voie de l'ancienne commune de Belleville dans cette partie		10069_classement_2	Rue des Couronnes	thoroughfare	Belleville	municipality	within	classement	landmark			
	16	rue des couronnes || Historique || La partie A est tracée sur le plan de Roussel (1730)	1730	10069_historique_1	Rue des Couronnes	thoroughfare								
X	17	rue des couronnes || Historique || Le tronçon entre la Caroline (actuellement rue Julien Lacroix) et la chaussée de Ménilmontant (actuellement rue de Ménilmontant) a été dénommé rue Julien Lacroix par arrêté préfectoral du 2 avril 1868	1868-04-02	10069_historique_2	Rue Julien Lacroix	thoroughfare				attribute_version_transition	attribute	name		rue Julien Lacroix
X	18	rue des couronnes || Numérotation || Arrêté du 2 décembre 1882	1882-12-02	10069_numérotation	Rue des Couronnes	thoroughfare				numerotation	landmark			
X	19	rue des couronnes || Ouverture || Décret du 25 mars 1878 (UP), partie B	1878-03-25	10069_ouverture	Rue des Couronnes	thoroughfare				attribute_version_transition	attribute	geometry		
A	20	rue du dahomey || Dénomination || Arrêté du 28 décembre 1894	1894-12-28	10125_dénomination	Rue du Dahomey	thoroughfare				attribute_version_transition	attribute	name		rue du Dahomey
X	21	rue du dahomey || Historique || Dénommée anciennement cul-de-sac du Petit Jardinet		10125_historique_1	Rue du Dahomey	thoroughfare				attribute_version_transition	attribute	name	cul-de-sac du Petit Jardinet	rue du Dahomey
	22	rue du dahomey || Historique || puis, impasse Saint-Bernard, cul-de-sac Sainte-Marguerite, passage Saint-Bernard		10125_historique_2	Rue du Dahomey	thoroughfare								
X	23	rue dareau || Classement || Décret du 23 mai 1863, dans la voirie parisienne	1863-05-23	10158_classement_1	Rue Dareau	thoroughfare				classement	landmark			
X	24	rue dareau || Classement || Précédemment voie des communes de Gentilly et de Montrouge		10158_classement_2	Rue Dareau	thoroughfare	Gentilly;Montrouge	municipality;municipality	within	classement	landmark			
X	25	rue dareau || Dénomination || Délibération du Conseil municipal de Montrouge du 13 février 1858	1858-02-13	10158_dénomination	Rue Dareau	thoroughfare				attribute_version_transition	attribute	name		rue Dareau
	26	rue dareau || Historique || Précédemment partie de la rue des Catacombes		10158_historique_1	Rue Dareau	thoroughfare								
ø	27	rue dareau || Historique || Cette voie est indiquée sur le plan de Jouvin de Rochefort (1672)	1672	10158_historique_2	Rue Dareau	thoroughfare								
ø	28	rue dareau || Historique || Elle formait le prolongement de la rue de Lourcine (act		10158_historique_3	Rue Dareau	thoroughfare								
	29	rue dareau || Historique || rues Edouard Quénu, Broca et Léon-Maurice Nordmann), à partir de la rue de la Santé dans la direction de la rue de la Tombe Issoire		10158_historique_4	Rue Dareau	thoroughfare								
	30	rue dareau || Historique || Sur le plan cadastral de 1804, elle est nommée rue de la Voie Creuse	1804	10158_historique_5	Rue Dareau	thoroughfare								
	31	rue dareau || Historique || La partie comprise entre la rue de la Tombe Issoire et le boulevard Saint-Jacques a porté le nom de chemin ou rue des Cavées		10158_historique_6	Rue Dareau	thoroughfare								
	32	rue dareau || Historique || Certaines parties ont été appelées chemin des Boeufs		10158_historique_7	Rue Dareau	thoroughfare								
X	33	rue dareau || Historique || En 1946, la partie comprise entre la rue de la Tombe Issoire et l'avenue d'Orléans (actuellement avenue du Général Leclerc) a pris le nom de rue Rémy Dumoncel	1946	10158_historique_8	Rue Rémy Dumoncel	thoroughfare				attribute_version_transition	attribute	name		rue Rémy Dumoncel
X	34	rue dareau || Numérotation || Arrêté du 12 février 1875	1875-02-12	10158_numérotation	Rue Dareau	thoroughfare				numerotation	landmark			
X	35	rue delaitre || Classement || Décret du 23 mai 1863, dans la voirie parisienne	1863-05-23	10200_classement_1	Rue Delaitre	thoroughfare				classement	landmark			
X	36	rue delaitre || Classement || Précédemment, voie de l'ancienne commune de Belleville		10200_classement_2	Rue Delaitre	thoroughfare	Belleville	municipality	within	classement	landmark			
X	37	passage des deux soeurs || Historique || Précédemment, cour des Deux Soeurs		10262_historique_1	Passage des Deux Soeurs	thoroughfare				attribute_version_transition	attribute	name	cour des Deux Soeurs	passage des Deux Soeurs
X	38	passage des deux soeurs || Historique || Elle a été appelée aussi cour des Chiens et cul-de-sac Coypel		10262_historique_2	Passage des Deux Soeurs	thoroughfare				attribute_version_transition	attribute	name	cour des Chiens	
	39	passage des deux soeurs || Historique || Précédemment, cette voie se terminait en impasse au-delà des rues La Fayette et de Châteaudun		10262_historique_3	Passage des Deux Soeurs	thoroughfare				attribute_version_transition	attribute	name		passage des Deux Soeurs
X	40	passage des deux soeurs || Ouverture || Créée à la fin du XVIIIe siècle		10262_ouverture	Passage des Deux Soeurs	thoroughfare				attribute_version_transition	attribute	geometry		
X	41	rue dieulafoy || Classement || Arrêté du 12 décembre 1935	1935-12-12	10276_classement	Rue Dieulafoy	thoroughfare				classement	landmark			
X	42	rue dieulafoy || Ouverture || Ouverte en 1912	1912	10276_ouverture	Rue Dieulafoy	thoroughfare				attribute_version_transition	attribute	geometry		
A	43	rue dominique pado || Dénomination || Arrêté municipal du 18 juillet 1995	1995-07-18	10328_dénomination	Rue Dominique Pado	thoroughfare				attribute_version_transition	attribute	name		rue Dominique Pado
A	44	rue de dreux || Dénomination || Arrêté du 25 avril 1930	1930-04-25	10343_dénomination	Rue de Dreux	thoroughfare				attribute_version_transition	attribute	name		rue de Dreux
	45	rue de dreux || Historique || Voie recrée dans le cadre de l'aménagement concertée de la Zac `Champerret`		10343_historique_1	Rue de Dreux	thoroughfare								
	46	rue de dreux || Historique || Cette voie correspond à la partie restante de la rue de Chartres située autrefois sur le territoire de Neuilly-sur-Seine, annexé à Paris par décret du 18 avril 1929	1929-04-18	10343_historique_2	Rue de Dreux	thoroughfare								
	47	rue de dreux || Historique || Supprimée en 1971 lors de la création du boulevard Périphérique	1971	10343_historique_3	Rue de Dreux	thoroughfare								
	48	rue de dreux || Historique || Elle commençait place de Verdun et finissait rue de Chartres à la limite du territoire de Neuilly-sur-Seine		10343_historique_4	Rue de Dreux	thoroughfare								
A	49	rue de dreux || Historique || Précédemment, partie de la rue de Chartres		10343_historique_5	Rue de Chartres	thoroughfare				attribute_version_transition	attribute	geometry		
X	50	rue du cange || Classement || Décret du 23 mai 1863	1863-05-23	10357_classement	Rue du Cange	thoroughfare				classement	landmark			
X	51	rue du cange || Dénomination || Décret du 10 février 1875	1875-02-10	10357_dénomination	Rue du Cange	thoroughfare				attribute_version_transition	attribute	name		rue du Cange
	52	rue du cange || Historique || La partie privée de cette voie qui était comprise entre les rues de Gergovie et du Moulin de la Vierge a été supprimée lors de l'aménagement de la Zac `Guilleminot-Vercingétorix`		10357_historique_1	Rue du Cange	thoroughfare								
A	53	rue du cange || Historique || Précédemment, rue des Trois Soeurs		10357_historique_2	Rue du Cange	thoroughfare				attribute_version_transition	attribute	name	rue des Trois Soeurs	rue des Rondonneaux
X	54	villa dufresne || Ouverture || Créée en 1885	1885	10364_ouverture	Villa Dufresne	thoroughfare				attribute_version_transition	attribute	geometry		
	55	rue dupetit-thouars || Historique || Ouverte sur une partie de l'enclos du Temple		10383_historique	Rue Dupetit-Thouars	thoroughfare								
X	56	rue dupetit-thouars || Numérotation || Arrêté du 20 janvier 1909, côté impair	1909-01-20	10383_numérotation	Rue Dupetit-Thouars	thoroughfare				numerotation	landmark			
X	57	rue dupetit-thouars || Ouverture || Ouverte en 1809	1809	10383_ouverture	Rue Dupetit-Thouars	thoroughfare				attribute_version_transition	attribute	geometry		
X	58	rue de duras || Ouverture || Ouverte en 1723	1723	10401_ouverture	Rue de Duras	thoroughfare				attribute_version_transition	attribute	geometry		
A	59	place de l'église de l'assomption || Dénomination || Arrêté du 22 octobre 1954	1954-10-22	10469_dénomination	Place de l'Église de l'Assomption	thoroughfare				attribute_version_transition	attribute	name		place de l'Église de l'Assomption
X	60	place de l'église de l'assomption || Ouverture || Arrêté du 22 octobre 1954	1954-10-22	10469_ouverture	Place de l'Église de l'Assomption	thoroughfare				attribute_version_transition	attribute	geometry		
X	61	rue élisa borey || Classement || Arrêté du 12 février 1935	1935-02-12	10474_classement	Rue Élisa Borey	thoroughfare				classement	landmark			
	62	rue élisa borey || Historique || Cette voie débouchait précédemment au carrefour de la rue des Partants avec la rue Sorbier		10474_historique_1	Rue Élisa Borey	thoroughfare								
X	63	rue élisa borey || Historique || en 1900, cette partie a pris le nom de la rue Soleillet	1900	10474_historique_2	Rue Élisa Borey	thoroughfare				attribute_version_transition	attribute	geometry		
X	63	rue élisa borey || Historique || en 1900, cette partie a pris le nom de la rue Soleillet	1900	10474_historique_2	Rue Soleillet	thoroughfare				appearance	landmark			
	64	rue élisa borey || Historique || La partie B a été ouverte par la Ville de Paris		10474_historique_3	Rue Élisa Borey	thoroughfare								
X	65	rue élisa borey || Numérotation || Arrêté du 15 septembre 1883	1883-09-15	10474_numérotation	Rue Élisa Borey	thoroughfare				numerotation	landmark			
X	66	rue élisa borey || Ouverture || La partie B a été ouverte en 1906	1906	10474_ouverture	Rue Élisa Borey	thoroughfare				attribute_version_transition	attribute	geometry		
A	67	rue émile borel || Dénomination || Arrêté préfectoral du 21 septembre 1961	1961-09-21	10489_dénomination_1	Rue Émile Borel	thoroughfare				attribute_version_transition	attribute	name		rue Émile Borel
X	68	rue émile borel || Dénomination || Délibération municipale des 15, 16 et 17 février 2016	2016-02-17	10489_dénomination_2	Rue Émile Borel	thoroughfare				attribute_version_transition	attribute	name		rue Émile Borel
	69	rue émile borel || Historique || Une partie de la rue était précédemment dénommée voie B/17		10489_historique_1	Rue Émile Borel	thoroughfare								
	70	rue émile borel || Historique || Puis la rue Emile Borel a été étendue à la voie destinée à devenir publique CK/17, commençant 13, rue Emile Borel et finissant voie CL/17		10489_historique_2	Rue Émile Borel	thoroughfare								villa Alexandre Tansman
X	71	rue erckmann-chatrian || Classement || Décret du 23 mai 1863	1863-05-23	10541_classement	Rue Erckmann-Chatrian	thoroughfare				classement	landmark			
X	72	rue erckmann-chatrian || Dénomination || Arrêté du 11 mai 1904	1904-05-11	10541_dénomination	Rue Erckmann-Chatrian	thoroughfare				attribute_version_transition	attribute	name		rue Erckmann-Chatrian
	73	rue erckmann-chatrian || Historique || Précédemment partie de la rue Richomme		10541_historique_1	Rue Erckmann-Chatrian	thoroughfare								
	74	rue erckmann-chatrian || Historique || plus anciennement, passage Lacoste		10541_historique_2	Rue Erckmann-Chatrian	thoroughfare								
X	75	rue erckmann-chatrian || Numérotation || Arrêté du 24 février 1905	1905-02-24	10541_numérotation	Rue Erckmann-Chatrian	thoroughfare				numerotation	landmark			
X	76	rue ernestine || Classement || Décret du 23 mai 1863, entre la rue Doudeauville et la rue Marcadet	1863-05-23	10556_classement	Rue Ernestine	thoroughfare				classement	landmark			
A	77	rue ernestine || Dénomination || Arrêté du 20 juillet 1868, entre la rue Marcadet et la rue Ordener	1868-07-20	10556_dénomination_1	Rue Ernestine	thoroughfare				attribute_version_transition	attribute	name		rue Ernestine
A	77	rue ernestine || Dénomination || Arrêté du 20 juillet 1868, entre la rue Marcadet et la rue Ordener	1868-07-20	10556_dénomination_1	Rue Marcadet	thoroughfare				attribute_version_transition	attribute	name		rue Ernestine
A	77	rue ernestine || Dénomination || Arrêté du 20 juillet 1868, entre la rue Marcadet et la rue Ordener	1868-07-20	10556_dénomination_1	Rue Ordener	thoroughfare				attribute_version_transition	attribute	name		rue Ernestine
A	78	rue ernestine || Dénomination || Cette partie a été ouverte par la Ville de Paris lors du percement de la rue Ordener		10556_dénomination_2	Rue Ernestine	thoroughfare				attribute_version_transition	attribute	name		rue Ernestine
A	78	rue ernestine || Dénomination || Cette partie a été ouverte par la Ville de Paris lors du percement de la rue Ordener		10556_dénomination_2	Rue Ordener	thoroughfare				attribute_version_transition	attribute	name		rue Ernestine
	79	rue ernestine || Historique || La rue Ernestine se composait de trois tronçons		10556_historique_1	Rue Ernestine	thoroughfare								
X	80	rue ernestine || Historique || par arrêté préfectoral du 19 décembre 1874, le tronçon entre la rue Polonceau et la rue Saint-Bruno a pris le nom de rue Pierre l'Ermite, et le tronçon entre la rue Saint-Mathieu et la rue Cavé à pris le nom de rue Saint-Jérôme	1874-12-19	10556_historique_2	Rue Pierre l'Ermite	thoroughfare				attribute_version_transition	attribute	name		rue Pierre l'Ermite
X	80	rue ernestine || Historique || par arrêté préfectoral du 19 décembre 1874, le tronçon entre la rue Polonceau et la rue Saint-Bruno a pris le nom de rue Pierre l'Ermite, et le tronçon entre la rue Saint-Mathieu et la rue Cavé à pris le nom de rue Saint-Jérôme	1874-12-19	10556_historique_2	Rue Saint-Jérôme	thoroughfare				attribute_version_transition	attribute	name		rue Saint-Jérôme
X	81	rue ernestine || Numérotation || Arrêté du 15 mars 1875	1875-03-15	10556_numérotation	Rue Ernestine	thoroughfare				numerotation	landmark			
X	82	rue étienne dolet || Dénomination || Arrêté du 16 août 1879	1879-08-16	10584_dénomination	Rue Étienne Dolet	thoroughfare				attribute_version_transition	attribute	name		rue Étienne Dolet
	83	rue étienne dolet || Historique || Précédemment, elle débouchait sur la rue du Liban formant une place dénommée place Maurice Chevalier en 1978	1978	10584_historique	Rue Étienne Dolet	thoroughfare				attribute_version_transition	attribute	name		rue Étienne Dolet
X	84	rue étienne dolet || Numérotation || Arrêté du 22 janvier 1880	1880-01-22	10584_numérotation	Rue Étienne Dolet	thoroughfare				numerotation	landmark			
X	85	rue étienne dolet || Ouverture || Décret du 29 avril 1878 (UP)	1878-04-29	10584_ouverture	Rue Étienne Dolet	thoroughfare				attribute_version_transition	attribute	geometry		
X	86	villa eugène leblanc || Classement || Arrêté municipal du 16 juin 1993	1993-06-16	10601_classement	Villa Eugène Leblanc	thoroughfare				classement	landmark			
X	87	villa eugène leblanc || Ouverture || Créée en 1913	1913	10601_ouverture	Villa Eugène Leblanc	thoroughfare				attribute_version_transition	attribute	geometry		
X	88	rue eugène manuel || Classement || Décret du 20 décembre 1901, entre les rues Claude Chahu et Francisque Sarcey (A)	1901-12-20	10602_classement_1	Rue Eugène Manuel	thoroughfare				classement	landmark			
X	89	rue eugène manuel || Classement || Décret du 26 janvier 1911, entre les rues Francisque Sarcey et Paul Saunière (B)	1911-01-26	10602_classement_2	Rue Eugène Manuel	thoroughfare				classement	landmark			
X	90	rue eugène manuel || Classement || Décret du 22 juillet 1937 (UP), le surplus (partie C)	1937-07-22	10602_classement_3	Rue Eugène Manuel	thoroughfare				classement	landmark			
A	91	rue eugène manuel || Dénomination || Arrêté du 5 avril 1904	1904-04-05	10602_dénomination	Rue Eugène Manuel	thoroughfare				attribute_version_transition	attribute	name		rue Eugène Manuel
X	92	rue eugène manuel || Numérotation || Arrêté du 27 mai 1902, partie A	1902-05-27	10602_numérotation	Rue Eugène Manuel	thoroughfare				numerotation	landmark			
X	93	rue eugène manuel || Ouverture || La partie A a été ouverte en 1897 et la partie B en 1908	1905-03-11	10602_ouverture	Rue Eugène Manuel	thoroughfare				attribute_version_transition	attribute	geometry		
X	93	rue eugène manuel || Ouverture || La partie A a été ouverte en 1897 et la partie B en 1908	1897	10602_ouverture	Rue Eugène Manuel	thoroughfare				attribute_version_transition	attribute	geometry		
X	94	rue eugène oudiné || Dénomination || Arrêté du 13 janvier 1934, partie A	1934-01-13	10605_dénomination_1	Rue Eugène Oudiné	thoroughfare				attribute_version_transition	attribute	name		rue Eugène Oudiné
A	95	rue eugène oudiné || Dénomination || Arrêté du 5 octobre 1956, partie B	1956-10-05	10605_dénomination_2	Rue Eugène Oudiné	thoroughfare				attribute_version_transition	attribute	name		rue Eugène Oudiné
A	96	rue eugène oudiné || Historique || Précédemment, rue Watt prolongée		10605_historique	Rue Watt prolongée	thoroughfare				attribute_version_transition	attribute	name	rue Watt prolongée	rue de Rigny
A	96	rue eugène oudiné || Historique || Précédemment, rue Watt prolongée		10605_historique	Rue Eugène Oudiné	thoroughfare				attribute_version_transition	attribute	name	rue Watt prolongée	rue de Rigny
X	97	rue eugène oudiné || Ouverture || Décret du 23 avril 1913 (UP), entre les rues Cantagrel et du Dessous des Berges (A)	1913-04-23	10605_ouverture_1	Rue Eugène Oudiné	thoroughfare				attribute_version_transition	attribute	geometry		
X	98	rue eugène oudiné || Ouverture || Décret du 16 avril 1941, le surplus (B)	1941-04-16	10605_ouverture_2	Rue Eugène Oudiné	thoroughfare				attribute_version_transition	attribute	geometry		
X	99	rue fenoux || Classement || Décret du 23 mai 1863, dans la voirie parisienne	1863-05-23	10675_classement_1	Rue Fenoux	thoroughfare				classement	landmark			
X	100	rue fenoux || Classement || Précédemment voie de l'ancienne commune de Vaugirard		10675_classement_2	Rue Fenoux	thoroughfare				classement	landmark			
X	101	rue fenoux || Ouverture || Décret du 5 mars 1851 (UP)	1851-03-05	10675_ouverture	Rue Fenoux	thoroughfare				attribute_version_transition	attribute	geometry		
X	102	rue fernand raynaud || Classement || Arrêté municipal du 20 juillet 1992	1992-07-20	10702_classement	Rue Fernand Raynaud	thoroughfare				classement	landmark			
A	103	rue fernand raynaud || Dénomination || Arrêté municipal du 31 janvier 1994	1994-01-31	10702_dénomination	Rue Fernand Raynaud	thoroughfare				attribute_version_transition	attribute	name		rue Fernand Raynaud
X	104	rue fernand raynaud || Historique || Elle avait été provisoirement dénommée U/20		10702_historique	Rue Fernand Raynaud	thoroughfare				attribute_version_transition	attribute	name	voie U/20	rue Fernand Raynaud
X	105	rue fessart || Classement || Décret du 21 février 1889, entre les rues de Palestine et de la Villette	1889-02-21	10707_classement_1	Rue Fessart	thoroughfare				classement	landmark			
X	106	rue fessart || Classement || Décret du 23 mai 1863, dans la voirie parisienne, le surplus	1863-05-23	10707_classement_2	Rue Fessart	thoroughfare				classement	landmark			
	107	rue fessart || Classement || Dans cette partie, voie de l'ancienne commune de Belleville		10707_classement_3	Rue Fessart	thoroughfare				classement	landmark			
	108	rue fessart || Historique || La partie entre les rues Clavel et Botzaris est indiquée sur le cadastre de 1812	1812	10707_historique	Rue Fessart	thoroughfare								
X	109	rue fessart || Numérotation || Arrêté du 16 novembre 1881	1881-11-16	10707_numérotation	Rue Fessart	thoroughfare				numerotation	landmark			
	110	rue du fouarre || Historique || Ouverte sur le Clos Mauvoisin		10772_historique_1	Rue du Fouarre	thoroughfare								
X	111	rue du fouarre || Historique || A porté le nom de rue des Ecoles ou des Ecoliers		10772_historique_2	Rue du Fouarre	thoroughfare				attribute_version_transition	attribute	name	rue des Écoles	
	112	rue du fouarre || Historique || Plus tard, rue du Feurre ou du Fouarre		10772_historique_3	Rue du Fouarre	thoroughfare								
X	113	rue du fouarre || Historique || La partie de la voie qui débouchait sur le quai de Montebello a été supprimée en 1887 lors de l'ouverture de la rue Lagrange	1887	10772_historique_4	Rue du Fouarre	thoroughfare				disappearance	landmark			
X	113	rue du fouarre || Historique || La partie de la voie qui débouchait sur le quai de Montebello a été supprimée en 1887 lors de l'ouverture de la rue Lagrange	1887	10772_historique_4	Rue Lagrange	thoroughfare				attribute_version_transition	attribute	geometry		
X	114	rue du fouarre || Numérotation || Arrêté du 8 juillet 1902	1902-07-08	10772_numérotation	Rue du Fouarre	thoroughfare				numerotation	landmark			
X	115	rue du fouarre || Ouverture || Ouverte au commencement du XIIIe siècle	C13	10772_ouverture	Rue du Fouarre	thoroughfare				attribute_version_transition	attribute	geometry		
A	116	rue françois bonvin || Dénomination || Arrêté du 20 avril 1891	1891-04-20	10798_dénomination	Rue François Bonvin	thoroughfare				attribute_version_transition	attribute	name		rue François Bonvin
	117	rue françois bonvin || Historique || Un arrêté préfectoral du 18 avril 1890 l'avait dénommée rue François Millet	1890-04-18	10798_historique_1	Rue François Bonvin	thoroughfare								
	118	rue françois bonvin || Historique || Le nom François Bonvin avait été donné à une voie du 16e arrondissement appelée actuellement rue François Millet		10798_historique_2	Rue François Bonvin	thoroughfare								
X	119	rue françois bonvin || Numérotation || Arrêté du 9 mars 1888	1888-03-09	10798_numérotation	Rue François Bonvin	thoroughfare				numerotation	landmark			
X	120	rue françois bonvin || Ouverture || Décret du 14 avril 1886 (UP)	1886-04-14	10798_ouverture_1	Rue François Bonvin	thoroughfare				attribute_version_transition	attribute	geometry		
X	121	rue françois bonvin || Ouverture || Ouverte en 1885	1885	10798_ouverture_2	Rue François Bonvin	thoroughfare				attribute_version_transition	attribute	geometry		
A	122	rue francis picabia || Dénomination || Arrêté municipal du 21 décembre 1987	1987-12-21	10801_dénomination	Rue Francis Picabia	thoroughfare				attribute_version_transition	attribute	name		rue Francis Picabia
	123	rue francis picabia || Historique || Voie créée dans le cadre de l'aménagement de la Zac `Belleville`		10801_historique_1	Rue Francis Picabia	thoroughfare								
X	124	rue francis picabia || Historique || Elle avait été provisoirement dénommée DE/20		10801_historique_2	Rue Francis Picabia	thoroughfare				attribute_version_transition	attribute	name	voie DE/20	rue Francis Picabia
X	125	rue de la fraternité || Classement || Arrêté du 9 juin 1931	1931-06-09	10822_classement	Rue de la Fraternité	thoroughfare				classement	landmark			
X	126	rue de la fraternité || Ouverture || Ouverte en 1889	1889	10822_ouverture	Rue de la Fraternité	thoroughfare				attribute_version_transition	attribute	geometry		
X	127	rue du gabon || Classement || Arrêté du 5 octobre 1857, dans la voirie de la commune de Saint-Mandé et décret du 23 mai 1863, dans la voirie parisienne, (partie A)	1857-10-05	10859_classement_1	Rue du Gabon	thoroughfare				classement	landmark			
	128	rue du gabon || Classement || La partie B a été remise par l'Etat à la Ville de Paris suivant procès-verbal du 9 novembre 1889	1889-11-09	10859_classement_2	Rue du Gabon	thoroughfare				classement	landmark			
X	129	rue du gabon || Dénomination || Arrêté du 1er février 1877	1877-02	10859_dénomination	Rue du Gabon	thoroughfare				attribute_version_transition	attribute	name		rue du Gabon
A	130	rue du gabon || Historique || Précédemment, sentier du chemin de Fer		10859_historique	Sentier du chemin de Fer	thoroughfare				attribute_version_transition	attribute	name	sentier du chemin de Fer	rue Eugène Oudiné
A	130	rue du gabon || Historique || Précédemment, sentier du chemin de Fer		10859_historique	Rue du Gabon	thoroughfare				attribute_version_transition	attribute	name	sentier du chemin de Fer	rue Eugène Oudiné
X	131	rue du gabon || Numérotation || Arrêté du 5 septembre 1876, partie A	1876-09-05	10859_numérotation	Rue du Gabon	thoroughfare				numerotation	landmark			
X	132	rue gaston de caillavet || Dénomination || Arrêté du 18 avril 1973	1973-04-18	10908_dénomination	Rue Gaston de Caillavet	thoroughfare				attribute_version_transition	attribute	name		rue Gaston de Caillavet
X	133	rue gaston de caillavet || Historique || Elle avait été provisoirement dénommée AE/15		10908_historique	Rue Gaston de Caillavet	thoroughfare				attribute_version_transition	attribute	name	voie AE/15	rue Gaston de Caillavet
X	134	rue gaston de caillavet || Ouverture || Arrêté du 10 janvier 1972	1972-01-10	10908_ouverture	Rue Gaston de Caillavet	thoroughfare				attribute_version_transition	attribute	geometry		
X	135	avenue du général dodds || Classement || Arrêté du 11 octobre 1932	1932-10-11	10951_classement	Avenue du Général Dodds	thoroughfare				classement	landmark			
X	136	avenue du général dodds || Dénomination || Arrêté du 12 janvier 1935	1935-01-12	10951_dénomination	Avenue du Général Dodds	thoroughfare				attribute_version_transition	attribute	name		avenue du Général Dodds
	137	avenue du général dodds || Historique || Ouverte par la Ville de Paris sur l'emplacement du bastion 5		10951_historique	Avenue du Général Dodds	thoroughfare								
X	138	avenue du général dodds || Numérotation || Arrêté du 28 mars 1935	1935-03-28	10951_numérotation	Avenue du Général Dodds	thoroughfare				numerotation	landmark			
X	139	avenue du général tripier || Classement || Décret du 4 février 1911	1911-02-04	10982_classement	Avenue du Général Tripier	thoroughfare				classement	landmark			
A	140	avenue du général tripier || Dénomination || Arrêté du 28 octobre 1910	1910-10-28	10982_dénomination	Avenue du Général Tripier	thoroughfare				attribute_version_transition	attribute	name		avenue du Général Tripier
	141	avenue du général tripier || Historique || Ouverte par la Ville de Paris sur les terrains détachés du Champ de Mars		10982_historique	Avenue du Général Tripier	thoroughfare								
X	142	avenue du général tripier || Numérotation || Arrêté du 7 novembre 1911	1911-11-07	10982_numérotation	Avenue du Général Tripier	thoroughfare				numerotation	landmark			
X	143	avenue du général tripier || Ouverture || Ouverte en 1907	1907	10982_ouverture	Avenue du Général Tripier	thoroughfare				attribute_version_transition	attribute	geometry		
X	144	avenue du général eisenhower || Dénomination || Arrêté du 19 février 1970	1970-02-19	10993_dénomination	Avenue du Général Eisenhower	thoroughfare				attribute_version_transition	attribute	name		avenue du Général Eisenhower
A	145	avenue du général eisenhower || Historique || Précédemment, partie de l'avenue de Selves		10993_historique_1	Avenue de Selves	thoroughfare				attribute_version_transition	attribute	geometry		
	146	avenue du général eisenhower || Historique || Plus anciennement partie de la rue Jean Goujon		10993_historique_2	Avenue du Général Eisenhower	thoroughfare								
X	147	rue georges berger || Dénomination || Arrêté du 16 juillet 1912, approuvé par décret du 26 août 1912	1912-08-26	11001_dénomination	Rue Georges Berger	thoroughfare				attribute_version_transition	attribute	name		rue Georges Berger
