event;event_label;time;line_id;landmark_label;landmark_type;relatum_label;relatum_type;relation_type;change_type;change_on;attribute_type;outdates;makes_effective
30;rue Armand Carrel || Numéroration || Arrêté du 14 avril 1939.;14/04/1939;9051_numerotation;rue Armand Carrel;thoroughfare;;;;numerotation;landmark;geometry;;
31;rue Armand Carrel || Ouverture || Le tronçon A de la rue Armand Carrel a été ouvert en 1883.;1883;9051_ouverture_1;rue Armand Carrel;thoroughfare;;;;attribute_version_transition;attribute;geometry;;
32;rue Armand Carrel || Ouverture || Deux tronçons (A et le segment de 70 m) ont été réunis en 1925 par décret du 5 juillet 1925.;1925-03-1925;9051_ouverture_2;rue Armand Carrel;thoroughfare;;;;attribute_version_transition;attribute;geometry;;
33;rue Armand Carrel || Ouverture || La partie comprise entre les rues de Meaux et Lally-Tollendal a été ouverte par la Ville de Paris en 1937;1937;9051_ouverture_3;rue Armand Carrel;thoroughfare;;;;attribute_version_transition;attribute;geometry;;
33;rue Armand Carrel || Ouverture || La partie comprise entre les rues de Meaux et Lally-Tollendal a été ouverte par la Ville de Paris en 1937;;9051_ouverture_3;rue de Meaux;thoroughfare;;;;;;;;
33;rue Armand Carrel || Ouverture || La partie comprise entre les rues de Meaux et Lally-Tollendal a été ouverte par la Ville de Paris en 1937;;9051_ouverture_3;rue Lally-Tollendal;thoroughfare;;;;;;;;
34;rue Armand Carrel || Ouverture || La partie […] comprise entre les rues Lally-Tollendal et Clovis Hugues en 1938;1938;9051_ouverture_4;rue Armand Carrel;thoroughfare;;;;attribute_version_transition;attribute;geometry;;
34;rue Armand Carrel || Ouverture || La partie […] comprise entre les rues Lally-Tollendal et Clovis Hugues en 1938;1938;9051_ouverture_4;rue Lally-Tollendal;thoroughfare;;;;;;;;
34;rue Armand Carrel || Ouverture || La partie […] comprise entre les rues Lally-Tollendal et Clovis Hugues en 1938;1938;9051_ouverture_4;rue Clovis Hugues;thoroughfare;;;;;;;;
35;rue du Père Corentin || Historique || Précédemment rue de la Voie Verte.;;12740_historique;rue du Père Corentin;thoroughfare;;;;attribute_version_transition;attribute;name;voie Verte;rue du Père Corentin
36;rue du Père Corentin || Dénomination || Arrêté du 7 juillet 1945.;07/07/1945;12740_denomination;rue du Père Corentin;thoroughfare;;;;attribute_version_transition;attribute;name;;rue du Père Corentin
37;rue du Père Corentin || Numérotation || Arrêté du 5 décembre 1877.;1877-12-05;12740_numerotation;rue du Père Corentin;thoroughfare;;;;numerotation;landmark;;;
38;rue du Père Corentin || Classement || Décret du 23 mai 1863, dans la voirie parisienne;1863-05-23;12740_classement_1;rue du Père Corentin;thoroughfare;;;;;;;;
39;rue du Père Corentin || Classement || Précédemment chemin vicinal de la commune de Montrouge.;;12740_classement_2;rue du Père Corentin;thoroughfare;Montrouge;municipality;within;disappearance;relation;;;
40;rue Mizon || Historique || Ouverte sur l'emplacement de l'abattoir des Fourneaux.;;12269_historique;rue Mizon;thoroughfare;;;;attribute_version_transition;attribute;geometry;;
40;rue Mizon || Historique || Ouverte sur l'emplacement de l'abattoir des Fourneaux.;;12269_historique;abattoir des Fourneaux;structure;;;;;;;;
41;rue Mizon || Dénomination || Arrêté du 12 août 1899.;1899-08-12;12269_denomination;rue Mizon;thoroughfare;;;;attribute_version_transition;attribute;name;;rue Mizon
42;rue Mizon || Classement || Décret du 10 mars 1903.;10/03/1903;12269_classement;rue Mizon;thoroughfare;;;;classement;landmark;;;
43;rue Mizon || Numérotation || Arrêté du 14 janvier 1901.;14/01/1901;12269_numerotation;rue Mizon;thoroughfare;;;;numerotation;landmark;;;
44;rue Mizon || Ouverture || Ouverte en 1899.;1899;12269_ouverture;rue Mizon;thoroughfare;;;;attribute_version_transition;attribute;geometry;;
45;rue des Francs Bourgeois || Historique || L'arr. du 2 avril 1868, réunissait la rue Neuve Sainte-Catherine (comprise entre les rues de Turenne et Payenne) et la rue de Paradis au Marais (comprise entre les rues Vieille du Temple et des Archives) à la rue des Francs Bourgeois (comprise entre les rues Payenne et Vieille du Temple).;1868-04-02;10817_historique;rue de Francs Bourgeois;thoroughfare;;;;attribute_version_transition;attribute;geometry;;
45;rue des Francs Bourgeois || Historique || L'arr. du 2 avril 1868, réunissait la rue Neuve Sainte-Catherine (comprise entre les rues de Turenne et Payenne) et la rue de Paradis au Marais (comprise entre les rues Vieille du Temple et des Archives) à la rue des Francs Bourgeois (comprise entre les rues Payenne et Vieille du Temple).;;10817_historique;rue Neuve Sainte-Catherine;thoroughfare;;;;disappearance;landmark;;;
45;rue des Francs Bourgeois || Historique || L'arr. du 2 avril 1868, réunissait la rue Neuve Sainte-Catherine (comprise entre les rues de Turenne et Payenne) et la rue de Paradis au Marais (comprise entre les rues Vieille du Temple et des Archives) à la rue des Francs Bourgeois (comprise entre les rues Payenne et Vieille du Temple).;;10817_historique;rue de Paradis au Marais;thoroughfare;;;;disappearance;landmark;;;
46;rue des Francs Bourgeois || Dénomination || Arrêté du 2 avril 1868, parties comprises entre les rues de Turenne et Payenne et entre les rues Vieille du Temple et des Archives.;1868-04-02;10817_denomination_1;rue de Francs Bourgeois;thoroughfare;;;;attribute_version_transition;attribute;name;;rue des Francs Bourgeois
46;rue des Francs Bourgeois || Dénomination || Arrêté du 2 avril 1868, parties comprises entre les rues de Turenne et Payenne et entre les rues Vieille du Temple et des Archives.;;10817_denomination_1;rue de Turenne;thoroughfare;;;;;;;;
46;rue des Francs Bourgeois || Dénomination || Arrêté du 2 avril 1868, parties comprises entre les rues de Turenne et Payenne et entre les rues Vieille du Temple et des Archives.;;10817_denomination_1;rue Payenne;thoroughfare;;;;;;;;
46;rue des Francs Bourgeois || Dénomination || Arrêté du 2 avril 1868, parties comprises entre les rues de Turenne et Payenne et entre les rues Vieille du Temple et des Archives.;;10817_denomination_1;rue des Archives;thoroughfare;;;;;;;;
46;rue des Francs Bourgeois || Dénomination || Arrêté du 2 avril 1868, parties comprises entre les rues de Turenne et Payenne et entre les rues Vieille du Temple et des Archives.;;10817_denomination_1;rue Vieille du Temple;thoroughfare;;;;;;;;
47;rue des Francs Bourgeois || Dénomination || Arrêté du 26 décembre 1893, partie comprise entre la rue de Turenne et la place des Vosges.;1893-12-26;10817_denomination_2;rue de Francs Bourgeois;thoroughfare;;;;attribute_version_transition;attribute;name;;rue des Francs Bourgeois
47;rue des Francs Bourgeois || Dénomination || Arrêté du 26 décembre 1893, partie comprise entre la rue de Turenne et la place des Vosges.;;10817_denomination_2;rue de Turenne;thoroughfare;;;;;;;;
47;rue des Francs Bourgeois || Dénomination || Arrêté du 26 décembre 1893, partie comprise entre la rue de Turenne et la place des Vosges.;;10817_denomination_2;place des Vosges;thoroughfare;;;;;;;;
48;rue des Francs Bourgeois || Numérotation || Arrêté du 3 janvier 1894 : nos 2, 2 bis, 2 ter, 1 et 1 bis.;1894-01-03;10817_numerotation;rue de Francs Bourgeois;thoroughfare;;;;numerotation;landmark;;;
49;rue de Lesdiguières || Dénomination || Arrêté du 1er mai 1879.;1879-05-01;11829_denomination;rue de Lesdiguières;thoroughfare;;;;attribute_version_transition;attribute;name;;rue de Lesdiguières
50;rue de Lyon || Historique || L'ouverture de la rue de Lyon a supprimé la rue Treilhard.;;11970_historique;rue de Lyon;thoroughfare;;;;attribute_version_transition;attribute;geometry;;
50;rue de Lyon || Historique || L'ouverture de la rue de Lyon a supprimé la rue Treilhard.;;11970_historique;rue Treilhard;thoroughfare;;;;disappearance;landmark;;;
51;rue de Lyon || Dénomination || Ordonnance du 27 novembre 1847.;1847-11-27;11970_denomination;rue de Lyon;thoroughfare;;;;attribute_version_transition;attribute;name;;rue de Lyon
52;rue de Lyon || Numérotation || Arrêté du 29 mai 1900, partie A, côté pair.;29/05/1900;11970_numerotation;rue de Lyon;thoroughfare;;;;numerotation;landmark;;;
53;rue de Lyon || Ouverture || Ordonnance du 27 novembre 1847 (UP).;1847-11-27;11970_ouverture;rue de Lyon;thoroughfare;;;;attribute_version_transition;attribute;geometry;;
